"cell","gene","garp_score","p_value"
"HCC1428","ACTR8","-1.024619","0.11"
"HCC1500","ACTR8","-0.1138801","0.703"
"HCC1806","ACTR8","-0.0971946","0.921"
"HCC1937","ACTR8","-0.2165916","0.319"
"HCC1954","ACTR8","-0.2999836","0.192"
"HCC38","ACTR8","-0.1813043","0.642"
"Hs 578T","ACTR8","0.003497196","0.898"
"KPL-1","ACTR8","-0.06092997","0.752"
"MCF7","ACTR8","-0.02441191","0.717"
"MDA-MB-157","ACTR8","-0.04473469","0.877"
"MDA-MB-231","ACTR8","0.02960697","0.946"
"MDA-MB-361","ACTR8","-0.1137173","0.713"
"MDA-MB-436","ACTR8","-0.3009468","0.401"
"MDA-MB-453","ACTR8","0.02671243","0.931"
"MDA-MB-468","ACTR8","-0.005777437","0.933"
"SK-BR-3","ACTR8","-0.765482","0.043"
"SW527","ACTR8","-0.03196591","0.879"
"T-47D","ACTR8","-0.1046094","0.823"
"ZR-75-1","ACTR8","-0.3155333","0.382"
"609050M","ACTR8","-0.1653053","0.537"
"A2780","ACTR8","-0.03485417","0.607"
"A2780_CIS","ACTR8","-0.01242648","0.844"
"MM_OVCAR432_Bast_1","ACTR8","-0.3633953","0.744"
"OV-1946","ACTR8","-0.3061604","0.703"
"OV-90","ACTR8","-0.003678202","0.97"
"OVCA1369_TR","ACTR8","-1.584288","0.28"
"OVCA433_Bast","ACTR8","-0.2293608","0.901"
"OVCA5","ACTR8","-0.04548793","0.885"
"OVCA8","ACTR8","-0.1705929","0.618"
"OVCAR-3","ACTR8","-0.07347094","0.903"
"SK-OV-3","ACTR8","-0.001061565","0.878"
"TOV-1946","ACTR8","-0.3375401","0.522"
"TOV-2223G","ACTR8","-0.04898753","0.738"
"TOV-3133G","ACTR8","-0.03615742","0.801"
"AsPC-1","ACTR8","-0.0465385","0.846"
"BxPC-3","ACTR8","-0.09085149","0.864"
"CFPAC-1","ACTR8","-0.01090423","0.93"
"Capan-2","ACTR8","-0.03214429","0.745"
"HPAC","ACTR8","0.01578719","0.995"
"HPAF-II","ACTR8","-0.05646342","0.878"
"HPDE","ACTR8","-1.429112","0.625"
"Hs 766T","ACTR8","-0.6562082","0.542"
"IMIM-PC-1","ACTR8","-0.1032449","0.574"
"IMIM-PC-2","ACTR8","-0.003242015","0.95"
"KP-3","ACTR8","-0.1066861","0.705"
"KP-4","ACTR8","-0.07212353","0.551"
"MIA PaCa-2","ACTR8","-0.04376725","0.715"
"PANC-1","ACTR8","-0.04790729","0.863"
"PL45","ACTR8","-0.1523251","0.606"
"PaTu_8988S","ACTR8","-0.03624565","0.741"
"PaTu_8988T","ACTR8","-0.04295221","0.887"
"Panc 02.03","ACTR8","-0.1731835","0.716"
"Panc 03.27","ACTR8","-0.09584554","0.549"
"Panc 04.03","ACTR8","-0.1382286","0.636"
"Panc 05.04","ACTR8","-0.3279245","0.4"
"Panc 08.13","ACTR8","-0.3523583","0.053"
"Panc 10.05","ACTR8","-0.01848546","0.889"
"RWP-1","ACTR8","-0.03894156","0.773"
"SK-PC-1","ACTR8","-0.03655471","0.938"
"SK-PC-3","ACTR8","-0.2439106","0.783"
"SU.86.86","ACTR8","-0.1696374","0.222"
"SW1990","ACTR8","-0.131606","0.633"
"BT-20","ARID1A","-0.03320392","0.905"
"BT-474","ARID1A","-0.2475089","0.367"
"BT-549","ARID1A","-0.4250955","0.264"
"CAL-51","ARID1A","-0.04052943","0.963"
"CAMA-1","ARID1A","-0.255506","0.561"
"EFM-19","ARID1A","-0.0319219","0.848"
"HCC1143","ARID1A","-0.296058","0.571"
"HCC1187","ARID1A","-0.307987","0.409"
"HCC1395","ARID1A","-0.424395","0.251"
"HCC1419","ARID1A","-0.2117683","0.394"
"HCC1428","ARID1A","-0.2964344","0.637"
"HCC1500","ARID1A","-0.1607353","0.545"
"HCC1806","ARID1A","-0.4789795","0.428"
"HCC1937","ARID1A","-0.1933606","0.361"
"HCC1954","ARID1A","-0.06598019","0.802"
"HCC38","ARID1A","-0.1721472","0.66"
"Hs 578T","ARID1A","0.01149967","0.924"
"KPL-1","ARID1A","-0.03034467","0.933"
"MCF7","ARID1A","0.02898628","0.979"
"MDA-MB-157","ARID1A","-0.1069713","0.667"
"MDA-MB-231","ARID1A","-0.1603508","0.543"
"MDA-MB-361","ARID1A","0.05514594","0.999"
"MDA-MB-436","ARID1A","-0.2043348","0.637"
"MDA-MB-453","ARID1A","-0.02095991","0.509"
"MDA-MB-468","ARID1A","-0.026736","0.847"
"SK-BR-3","ARID1A","-0.175934","0.722"
"SW527","ARID1A","0.00185385","0.966"
"T-47D","ARID1A","-0.02863875","0.955"
"ZR-75-1","ARID1A","-0.2021585","0.619"
"609050M","ARID1A","-0.1060799","0.738"
"A2780","ARID1A","-0.03298189","0.617"
"A2780_CIS","ARID1A","-0.03246039","0.765"
"MM_OVCAR432_Bast_1","ARID1A","-0.3345644","0.774"
"OV-1946","ARID1A","-0.1373615","0.931"
"OV-90","ARID1A","-0.1029433","0.655"
"OVCA1369_TR","ARID1A","-0.5660719","0.691"
"OVCA433_Bast","ARID1A","-0.7243376","0.387"
"OVCA5","ARID1A","-0.1130272","0.672"
"OVCA8","ARID1A","-0.000731612","0.987"
"OVCAR-3","ARID1A","-0.3926142","0.533"
"SK-OV-3","ARID1A","-0.1163505","0.32"
"TOV-1946","ARID1A","-0.2669118","0.653"
"TOV-2223G","ARID1A","-0.03501886","0.774"
"TOV-3133G","ARID1A","-0.1190761","0.468"
"AsPC-1","ARID1A","-0.09729786","0.649"
"BxPC-3","ARID1A","-0.322599","0.368"
"CFPAC-1","ARID1A","-0.03773587","0.764"
"Capan-2","ARID1A","-0.04763942","0.666"
"HPAC","ARID1A","-0.0598044","0.586"
"HPAF-II","ARID1A","-0.09691877","0.733"
"HPDE","ARID1A","-0.6603594","0.835"
"Hs 766T","ARID1A","-0.6174532","0.585"
"IMIM-PC-1","ARID1A","-0.1173174","0.496"
"IMIM-PC-2","ARID1A","0.01623258","0.989"
"KP-3","ARID1A","-0.08369103","0.787"
"KP-4","ARID1A","-0.1356013","0.244"
"MIA PaCa-2","ARID1A","-0.01690602","0.901"
"PANC-1","ARID1A","-0.04842031","0.858"
"PL45","ARID1A","-0.005909098","0.991"
"PaTu_8988S","ARID1A","-0.06996217","0.519"
"PaTu_8988T","ARID1A","-0.05903713","0.755"
"Panc 02.03","ARID1A","-0.1902492","0.655"
"Panc 03.27","ARID1A","-0.04578114","0.78"
"Panc 04.03","ARID1A","-0.001814132","0.988"
"Panc 05.04","ARID1A","-0.1359388","0.86"
"Panc 08.13","ARID1A","-0.1662462","0.292"
"Panc 10.05","ARID1A","0.0339015","0.982"
"RWP-1","ARID1A","-0.000483683","0.901"
"SK-PC-1","ARID1A","-0.04837335","0.908"
"SK-PC-3","ARID1A","-0.234094","0.802"
"SU.86.86","ARID1A","-0.04652849","0.647"
"SW1990","ARID1A","-0.007406691","0.989"
"BT-20","ARID1B","-0.1576487","0.61"
"BT-474","ARID1B","-0.091172","0.768"
"BT-549","ARID1B","-0.1758666","0.714"
"CAL-51","ARID1B","-0.3143137","0.077"
"CAMA-1","ARID1B","-0.3386117","0.39"
"EFM-19","ARID1B","-0.1054108","0.588"
"HCC1143","ARID1B","-0.8300342","0.087"
"HCC1187","ARID1B","-0.3278338","0.369"
"HCC1395","ARID1B","-0.3347946","0.383"
"HCC1419","ARID1B","-0.2052921","0.405"
"HCC1428","ARID1B","-0.4593162","0.455"
"HCC1500","ARID1B","-0.42369","0.114"
"HCC1806","ARID1B","-0.3759626","0.583"
"HCC1937","ARID1B","-0.05300311","0.73"
"HCC1954","ARID1B","-0.1954274","0.374"
"HCC38","ARID1B","-0.3279324","0.328"
"Hs 578T","ARID1B","-0.07230061","0.505"
"KPL-1","ARID1B","-0.05789335","0.772"
"MCF7","ARID1B","-0.05157638","0.536"
"MDA-MB-157","ARID1B","-0.1043965","0.678"
"MDA-MB-231","ARID1B","-0.3352413","0.238"
"MDA-MB-361","ARID1B","-0.04894202","0.881"
"MDA-MB-436","ARID1B","-0.1780037","0.708"
