"cell","gene","garp_score","p_value"
"TOV-1946","KDM3A","-0.2973976","0.599"
"TOV-2223G","KDM3A","0.03503875","0.934"
"TOV-3133G","KDM3A","-0.1139683","0.487"
"AsPC-1","KDM3A","-0.07764447","0.733"
"BxPC-3","KDM3A","-0.3178515","0.386"
"CFPAC-1","KDM3A","-0.04844514","0.688"
"Capan-2","KDM3A","-0.002332965","0.91"
"HPAC","KDM3A","-0.04957819","0.67"
"HPAF-II","KDM3A","-0.1684502","0.476"
"HPDE","KDM3A","-1.392754","0.63"
"Hs 766T","KDM3A","-0.5743059","0.649"
"IMIM-PC-1","KDM3A","-0.07161118","0.795"
"IMIM-PC-2","KDM3A","-0.07928573","0.48"
"KP-3","KDM3A","-0.1099094","0.695"
"KP-4","KDM3A","-0.08868136","0.462"
"MIA PaCa-2","KDM3A","-0.06322771","0.596"
"PANC-1","KDM3A","-0.06769968","0.763"
"PL45","KDM3A","-0.1908124","0.478"
"PaTu_8988S","KDM3A","-0.02809515","0.792"
"PaTu_8988T","KDM3A","-0.04795678","0.859"
"Panc 02.03","KDM3A","-0.2779279","0.379"
"Panc 03.27","KDM3A","-0.0939739","0.556"
"Panc 04.03","KDM3A","-0.2418672","0.306"
"Panc 05.04","KDM3A","-0.209896","0.698"
"Panc 08.13","KDM3A","-0.1421019","0.377"
"Panc 10.05","KDM3A","-0.1149777","0.554"
"RWP-1","KDM3A","-0.4188815","0.079"
"SK-PC-1","KDM3A","-0.1782227","0.363"
"SK-PC-3","KDM3A","-0.4163376","0.44"
"SU.86.86","KDM3A","-0.04793274","0.638"
"SW1990","KDM3A","-0.198293","0.415"
"BT-20","KDM3B","-0.2217295","0.477"
"BT-474","KDM3B","-0.213357","0.44"
"BT-549","KDM3B","-0.1945056","0.667"
"CAL-51","KDM3B","-0.08955763","0.771"
"CAMA-1","KDM3B","-0.264019","0.54"
"EFM-19","KDM3B","-0.007367209","0.912"
"HCC1143","KDM3B","-0.2255882","0.691"
"HCC1187","KDM3B","-0.1893726","0.666"
"HCC1395","KDM3B","-0.2914443","0.455"
"HCC1419","KDM3B","-0.2130577","0.39"
"HCC1428","KDM3B","-0.5285329","0.397"
"HCC1500","KDM3B","-0.05477843","0.867"
"HCC1806","KDM3B","-0.09618744","0.924"
"HCC1937","KDM3B","0.005071436","0.901"
"HCC1954","KDM3B","-0.170118","0.44"
"HCC38","KDM3B","-0.2249376","0.539"
"Hs 578T","KDM3B","-0.1479909","0.228"
"KPL-1","KDM3B","-0.06650368","0.709"
"MCF7","KDM3B","-0.05772768","0.487"
"MDA-MB-157","KDM3B","-0.06946173","0.793"
"MDA-MB-231","KDM3B","0.02075236","0.934"
"MDA-MB-361","KDM3B","-0.2223606","0.447"
"MDA-MB-436","KDM3B","-0.1374458","0.832"
"MDA-MB-453","KDM3B","-0.1179652","0.153"
"MDA-MB-468","KDM3B","-0.08328728","0.585"
"SK-BR-3","KDM3B","-0.3916253","0.345"
"SW527","KDM3B","-0.01356988","0.927"
"T-47D","KDM3B","-0.3682424","0.222"
"ZR-75-1","KDM3B","-0.2675309","0.469"
"609050M","KDM3B","-0.1598801","0.557"
"A2780","KDM3B","-0.03001384","0.632"
"A2780_CIS","KDM3B","-0.009068245","0.854"
"MM_OVCAR432_Bast_1","KDM3B","-0.2424083","0.867"
"OV-1946","KDM3B","-0.2585065","0.777"
"OV-90","KDM3B","-0.006167513","0.961"
"OVCA1369_TR","KDM3B","-1.627314","0.264"
"OVCA433_Bast","KDM3B","-0.4518384","0.671"
"OVCA5","KDM3B","-0.2756737","0.27"
"OVCA8","KDM3B","-0.06487565","0.876"
"OVCAR-3","KDM3B","-0.1341001","0.834"
"SK-OV-3","KDM3B","-0.07951548","0.473"
"TOV-1946","KDM3B","-0.1805409","0.802"
"TOV-2223G","KDM3B","-0.1498735","0.514"
"TOV-3133G","KDM3B","-0.0296862","0.824"
"AsPC-1","KDM3B","-0.09851763","0.642"
"BxPC-3","KDM3B","-0.2758408","0.473"
"CFPAC-1","KDM3B","-0.006519651","0.944"
"Capan-2","KDM3B","-0.07290991","0.503"
"HPAC","KDM3B","-0.04281356","0.719"
"HPAF-II","KDM3B","-0.0234269","0.963"
"HPDE","KDM3B","-1.802859","0.519"
"Hs 766T","KDM3B","-0.2567522","0.967"
"IMIM-PC-1","KDM3B","-0.06500517","0.835"
"IMIM-PC-2","KDM3B","-0.03715061","0.764"
"KP-3","KDM3B","-0.1989119","0.418"
"KP-4","KDM3B","-0.1032209","0.392"
"MIA PaCa-2","KDM3B","-0.02831551","0.837"
"PANC-1","KDM3B","-0.07983114","0.683"
"PL45","KDM3B","-0.1582586","0.589"
"PaTu_8988S","KDM3B","-0.03319868","0.765"
"PaTu_8988T","KDM3B","-0.09496475","0.52"
"Panc 02.03","KDM3B","-0.3055255","0.329"
"Panc 03.27","KDM3B","-0.004890658","0.957"
"Panc 04.03","KDM3B","-0.1036861","0.754"
"Panc 05.04","KDM3B","-0.1566303","0.807"
"Panc 08.13","KDM3B","-0.01574299","0.93"
"Panc 10.05","KDM3B","-0.001951754","0.924"
"RWP-1","KDM3B","0.03860216","0.973"
"SK-PC-1","KDM3B","-0.05961904","0.864"
"SK-PC-3","KDM3B","-0.2247662","0.814"
"SU.86.86","KDM3B","-0.006487084","0.829"
"SW1990","KDM3B","-0.05120132","0.919"
"BT-20","KDM4A","-0.1817828","0.558"
"BT-474","KDM4A","-0.1148435","0.698"
"BT-549","KDM4A","-0.210618","0.634"
"CAL-51","KDM4A","-0.1947798","0.272"
"CAMA-1","KDM4A","-0.1604882","0.787"
"EFM-19","KDM4A","-0.07459255","0.701"
"HCC1143","KDM4A","-0.06533797","0.901"
"HCC1187","KDM4A","-0.07289258","0.936"
"HCC1395","KDM4A","-0.1046373","0.857"
"HCC1419","KDM4A","-0.1816866","0.464"
"HCC1428","KDM4A","-0.3825158","0.534"
"HCC1500","KDM4A","-0.1914183","0.469"
"HCC1806","KDM4A","-0.2629864","0.728"
"HCC1937","KDM4A","-0.01647942","0.845"
"HCC1954","KDM4A","-0.1576635","0.475"
"HCC38","KDM4A","-0.09719201","0.831"
"Hs 578T","KDM4A","-0.07821073","0.48"
"KPL-1","KDM4A","-0.03116089","0.928"
"MCF7","KDM4A","-0.0012608","0.886"
"MDA-MB-157","KDM4A","-0.1567084","0.504"
"MDA-MB-231","KDM4A","-0.1789623","0.512"
"MDA-MB-361","KDM4A","-0.08105744","0.798"
"MDA-MB-436","KDM4A","-0.2102439","0.627"
"MDA-MB-453","KDM4A","-0.1101016","0.173"
"MDA-MB-468","KDM4A","-0.2309839","0.219"
"SK-BR-3","KDM4A","-0.2400157","0.587"
"SW527","KDM4A","-0.1269374","0.487"
"T-47D","KDM4A","-0.1503702","0.7"
"ZR-75-1","KDM4A","-0.2247856","0.564"
"609050M","KDM4A","-0.2213028","0.385"
"A2780","KDM4A","-0.1834791","0.182"
"A2780_CIS","KDM4A","-0.0249247","0.797"
"MM_OVCAR432_Bast_1","KDM4A","-0.5284283","0.571"
"OV-1946","KDM4A","-0.4847766","0.445"
"OV-90","KDM4A","-0.1172943","0.605"
"OVCA1369_TR","KDM4A","-0.1224776","0.968"
"OVCA433_Bast","KDM4A","-0.2697689","0.865"
"OVCA5","KDM4A","-0.1190306","0.65"
"OVCA8","KDM4A","-0.1242394","0.732"
"OVCAR-3","KDM4A","-0.3449559","0.59"
"SK-OV-3","KDM4A","-0.3236999","0.031"
"TOV-1946","KDM4A","-0.2597219","0.668"
"TOV-2223G","KDM4A","-0.1208677","0.576"
"TOV-3133G","KDM4A","-0.4069548","0.079"
"AsPC-1","KDM4A","-0.1157345","0.574"
"BxPC-3","KDM4A","-0.2973604","0.428"
"CFPAC-1","KDM4A","-0.02592606","0.844"
"Capan-2","KDM4A","-0.1699872","0.187"
"HPAC","KDM4A","-0.06965365","0.522"
"HPAF-II","KDM4A","-0.2135324","0.351"
"HPDE","KDM4A","-0.5687383","0.855"
"Hs 766T","KDM4A","-0.5371187","0.701"
"IMIM-PC-1","KDM4A","-0.2125982","0.156"
"IMIM-PC-2","KDM4A","-0.129689","0.242"
"KP-3","KDM4A","-0.07983315","0.797"
"KP-4","KDM4A","-0.09749407","0.419"
"MIA PaCa-2","KDM4A","-0.03661445","0.775"
"PANC-1","KDM4A","-0.04656111","0.874"
"PL45","KDM4A","-0.08171339","0.845"
"PaTu_8988S","KDM4A","-0.02300027","0.83"
"PaTu_8988T","KDM4A","-0.1023853","0.482"
"Panc 02.03","KDM4A","-0.2166056","0.556"
"Panc 03.27","KDM4A","-0.187613","0.234"
"Panc 04.03","KDM4A","-0.08486446","0.821"
"Panc 05.04","KDM4A","-0.2020535","0.716"
"Panc 08.13","KDM4A","-0.120816","0.462"
"Panc 10.05","KDM4A","0.004761433","0.939"
"RWP-1","KDM4A","-0.09983383","0.581"
"SK-PC-1","KDM4A","-0.07348131","0.784"
"SK-PC-3","KDM4A","-0.3142627","0.629"
"SU.86.86","KDM4A","-0.05349831","0.609"
"SW1990","KDM4A","-0.1233295","0.671"
"BT-20","KDM4B","-0.3200347","0.288"
"BT-474","KDM4B","-0.05599795","0.869"
"BT-549","KDM4B","-0.1869371","0.682"
"CAL-51","KDM4B","-0.09392615","0.749"
"CAMA-1","KDM4B","-0.1277451","0.863"
"EFM-19","KDM4B","-0.1637329","0.397"
"HCC1143","KDM4B","-0.124865","0.838"
"HCC1187","KDM4B","-0.1622004","0.728"
"HCC1395","KDM4B","-0.07251552","0.917"
"HCC1419","KDM4B","-0.02345747","0.968"
"HCC1428","KDM4B","-0.1484795","0.829"
"HCC1500","KDM4B","-0.1072373","0.721"
"HCC1806","KDM4B","-0.002934114","0.988"
"HCC1937","KDM4B","-0.1574446","0.432"
"HCC1954","KDM4B","0.04765202","1"
"HCC38","KDM4B","-0.0689581","0.888"
"Hs 578T","KDM4B","0.01981639","0.957"
"KPL-1","KDM4B","-0.02604341","0.953"
"MCF7","KDM4B","0.0616898","1"
"MDA-MB-157","KDM4B","-0.03498184","0.904"
"MDA-MB-231","KDM4B","-0.05788524","0.788"
"MDA-MB-361","KDM4B","0.02496942","0.984"
"MDA-MB-436","KDM4B","-0.2506884","0.513"
"MDA-MB-453","KDM4B","0.06594194","1"
"MDA-MB-468","KDM4B","-0.01838257","0.886"
"SK-BR-3","KDM4B","-0.05565082","0.931"
"SW527","KDM4B","-0.02410973","0.901"
"T-47D","KDM4B","-0.1561679","0.68"
"ZR-75-1","KDM4B","0.07491063","0.999"
"609050M","KDM4B","-0.1860951","0.47"
"A2780","KDM4B","0.08899133","0.989"
"A2780_CIS","KDM4B","-0.08665217","0.522"
"MM_OVCAR432_Bast_1","KDM4B","-1.060566","0.133"
"OV-1946","KDM4B","-0.2861545","0.742"
"OV-90","KDM4B","-0.0665147","0.772"
"OVCA1369_TR","KDM4B","-1.341444","0.34"
"OVCA433_Bast","KDM4B","-0.8625519","0.259"
"OVCA5","KDM4B","-0.08105178","0.774"
"OVCA8","KDM4B","-0.2268239","0.504"
"OVCAR-3","KDM4B","-0.1223581","0.848"
"SK-OV-3","KDM4B","-0.06344157","0.548"
"TOV-1946","KDM4B","-0.198715","0.773"
"TOV-2223G","KDM4B","-0.3499883","0.221"
"TOV-3133G","KDM4B","-0.1510347","0.383"
"AsPC-1","KDM4B","-0.1168662","0.572"
"BxPC-3","KDM4B","-0.1136866","0.811"
"CFPAC-1","KDM4B","-0.07943359","0.482"
"Capan-2","KDM4B","-0.03104733","0.752"
"HPAC","KDM4B","-0.03567723","0.762"
"HPAF-II","KDM4B","-0.08522079","0.767"
"HPDE","KDM4B","1.620758","1"
"Hs 766T","KDM4B","-0.5410597","0.696"
"IMIM-PC-1","KDM4B","-0.09960552","0.601"
"IMIM-PC-2","KDM4B","-0.05667979","0.631"
"KP-3","KDM4B","-0.05213458","0.876"
"KP-4","KDM4B","-0.01074293","0.943"
"MIA PaCa-2","KDM4B","0.02668943","1"
"PANC-1","KDM4B","-0.005861145","0.985"
"PL45","KDM4B","-0.02472028","0.973"
"PaTu_8988S","KDM4B","-0.03244197","0.77"
"PaTu_8988T","KDM4B","-0.02750347","0.962"
"Panc 02.03","KDM4B","-0.1716851","0.722"
"Panc 03.27","KDM4B","-0.06595831","0.686"
"Panc 04.03","KDM4B","-0.06770569","0.862"
"Panc 05.04","KDM4B","-0.05019417","0.981"
"Panc 08.13","KDM4B","-0.03514384","0.851"
"Panc 10.05","KDM4B","-0.1191986","0.541"
"RWP-1","KDM4B","0.04679912","0.984"
"SK-PC-1","KDM4B","-0.04096544","0.933"
"SK-PC-3","KDM4B","-0.1489059","0.929"
"SU.86.86","KDM4B","-0.02237905","0.758"
"SW1990","KDM4B","-0.1300801","0.638"
"BT-20","KDM4C","-0.01159779","0.943"
"BT-474","KDM4C","-0.1179702","0.687"
"BT-549","KDM4C","-0.2290092","0.599"
"CAL-51","KDM4C","-0.05478416","0.922"
"CAMA-1","KDM4C","-0.1241527","0.875"
"EFM-19","KDM4C","-0.08098058","0.677"
"HCC1143","KDM4C","-0.2736388","0.611"
"HCC1187","KDM4C","-0.09839972","0.889"
"HCC1395","KDM4C","-0.1951991","0.663"
"HCC1419","KDM4C","-0.08796109","0.779"
"HCC1428","KDM4C","-0.1659285","0.806"
"HCC1500","KDM4C","-0.1562517","0.558"
"HCC1806","KDM4C","-0.1922846","0.818"
"HCC1937","KDM4C","-0.03481968","0.784"
"HCC1954","KDM4C","-0.01699987","0.96"
"HCC38","KDM4C","-0.1693307","0.669"
"Hs 578T","KDM4C","-0.0437789","0.681"
"KPL-1","KDM4C","-0.05762934","0.773"
"MCF7","KDM4C","-0.01013841","0.822"
"MDA-MB-157","KDM4C","-0.1143756","0.642"
"MDA-MB-231","KDM4C","0.01775143","0.929"
"MDA-MB-361","KDM4C","-0.1613692","0.584"
"MDA-MB-436","KDM4C","-0.1100839","0.908"
"MDA-MB-453","KDM4C","-0.04822637","0.339"
"MDA-MB-468","KDM4C","-0.04813691","0.738"
"SK-BR-3","KDM4C","-0.09201535","0.876"
"SW527","KDM4C","-0.03173925","0.879"
"T-47D","KDM4C","-0.08600035","0.863"
"ZR-75-1","KDM4C","-0.1072584","0.866"
"609050M","KDM4C","-0.0622876","0.891"
"A2780","KDM4C","0.04667626","0.927"
"A2780_CIS","KDM4C","0.01919852","0.955"
"MM_OVCAR432_Bast_1","KDM4C","-0.5989917","0.497"
"OV-1946","KDM4C","-0.1655677","0.912"
"OV-90","KDM4C","-0.02904488","0.899"
"OVCA1369_TR","KDM4C","-0.286813","0.885"
"OVCA433_Bast","KDM4C","-0.1030849","0.975"
"OVCA5","KDM4C","-0.07916766","0.781"
"OVCA8","KDM4C","-0.0687248","0.869"
"OVCAR-3","KDM4C","-0.2074169","0.743"
"SK-OV-3","KDM4C","0.008448569","0.916"
"TOV-1946","KDM4C","-0.1616691","0.828"
"TOV-2223G","KDM4C","0.03578302","0.935"
"TOV-3133G","KDM4C","-0.01013928","0.897"
"AsPC-1","KDM4C","-0.05191177","0.829"
"BxPC-3","KDM4C","-0.05928361","0.931"
"CFPAC-1","KDM4C","-0.04063251","0.746"
"Capan-2","KDM4C","-0.01929222","0.814"
"HPAC","KDM4C","-0.06216051","0.57"
"HPAF-II","KDM4C","-0.09987582","0.722"
"HPDE","KDM4C","-0.9518602","0.767"
"Hs 766T","KDM4C","-0.2644899","0.964"
"IMIM-PC-1","KDM4C","-0.0618427","0.852"
"IMIM-PC-2","KDM4C","-0.03166944","0.794"
"KP-3","KDM4C","-0.124948","0.634"
"KP-4","KDM4C","-0.02194696","0.901"
"MIA PaCa-2","KDM4C","-0.02713306","0.843"
"PANC-1","KDM4C","-0.01937778","0.969"
"PL45","KDM4C","-0.06728508","0.883"
"PaTu_8988S","KDM4C","-0.02380344","0.825"
"PaTu_8988T","KDM4C","-0.03721803","0.916"
"Panc 02.03","KDM4C","-0.1510358","0.793"
"Panc 03.27","KDM4C","-0.0254547","0.885"
"Panc 04.03","KDM4C","-0.08493875","0.82"
"Panc 05.04","KDM4C","-0.1318885","0.867"
"Panc 08.13","KDM4C","-0.04019308","0.834"
"Panc 10.05","KDM4C","-0.05848293","0.761"
"RWP-1","KDM4C","-0.004657142","0.888"
"SK-PC-1","KDM4C","-0.04793797","0.91"
"SK-PC-3","KDM4C","-0.2427053","0.784"
"SU.86.86","KDM4C","-0.0007696302","0.844"
"SW1990","KDM4C","-0.102903","0.762"
"BT-20","KDM4D","-0.3779869","0.213"
"BT-474","KDM4D","-0.3175286","0.249"
"BT-549","KDM4D","-0.2979222","0.455"
"CAL-51","KDM4D","-0.08736229","0.777"
"CAMA-1","KDM4D","-0.143106","0.825"
"EFM-19","KDM4D","0.002768428","0.941"
"HCC1143","KDM4D","0.03946839","0.989"
"HCC1187","KDM4D","-0.1183065","0.844"
"HCC1395","KDM4D","-0.7225577","0.042"
"HCC1419","KDM4D","-0.2099382","0.397"
"HCC1428","KDM4D","-0.3843547","0.532"
"HCC1500","KDM4D","-0.2835325","0.272"
"HCC1806","KDM4D","-0.6313953","0.244"
"HCC1937","KDM4D","0.04511934","0.975"
"HCC1954","KDM4D","-0.2121786","0.335"
"HCC38","KDM4D","-0.2103051","0.563"
"Hs 578T","KDM4D","-0.09200496","0.411"
"KPL-1","KDM4D","-0.1330862","0.26"
"MCF7","KDM4D","-0.08704656","0.326"
"MDA-MB-157","KDM4D","-0.09799293","0.706"
"MDA-MB-231","KDM4D","-0.2090599","0.453"
"MDA-MB-361","KDM4D","-0.2565414","0.387"
"MDA-MB-436","KDM4D","-0.1739319","0.723"
"MDA-MB-453","KDM4D","-0.006574995","0.63"
"MDA-MB-468","KDM4D","-0.2907265","0.147"
"SK-BR-3","KDM4D","-0.5947103","0.132"
"SW527","KDM4D","-0.09968275","0.585"
"T-47D","KDM4D","-0.08481245","0.864"
"ZR-75-1","KDM4D","-0.3695178","0.29"
"609050M","KDM4D","-0.1144212","0.712"
"A2780","KDM4D","-0.1323998","0.261"
"A2780_CIS","KDM4D","-0.07406979","0.577"
"MM_OVCAR432_Bast_1","KDM4D","0.01291096","0.995"
"OV-1946","KDM4D","-0.5380375","0.368"
"OV-90","KDM4D","-0.1492375","0.504"
"OVCA1369_TR","KDM4D","-0.4128253","0.798"
"OVCA433_Bast","KDM4D","-0.3969618","0.736"
"OVCA5","KDM4D","-0.09632196","0.727"
"OVCA8","KDM4D","-0.3439394","0.279"
"OVCAR-3","KDM4D","-0.223348","0.73"
"SK-OV-3","KDM4D","-0.05130087","0.612"
"TOV-1946","KDM4D","-0.4483587","0.361"
"TOV-2223G","KDM4D","-0.01133151","0.834"
"TOV-3133G","KDM4D","-0.04050815","0.783"
"AsPC-1","KDM4D","-0.169332","0.408"
"BxPC-3","KDM4D","-0.1847023","0.638"
"CFPAC-1","KDM4D","-0.09644412","0.392"
"Capan-2","KDM4D","-0.1221556","0.297"
"HPAC","KDM4D","-0.05144485","0.654"
"HPAF-II","KDM4D","-0.2382711","0.294"
"HPDE","KDM4D","-1.327313","0.651"
"Hs 766T","KDM4D","-0.8153983","0.333"
"IMIM-PC-1","KDM4D","-0.06599175","0.828"
"IMIM-PC-2","KDM4D","-0.06551556","0.566"
"KP-3","KDM4D","-0.1810025","0.459"
"KP-4","KDM4D","-0.07990685","0.511"
"MIA PaCa-2","KDM4D","-0.1259061","0.254"
"PANC-1","KDM4D","-0.09192017","0.618"
"PL45","KDM4D","-0.136617","0.663"
"PaTu_8988S","KDM4D","0.01879489","0.993"
"PaTu_8988T","KDM4D","-0.1379633","0.308"
"Panc 02.03","KDM4D","-0.3306786","0.283"
"Panc 03.27","KDM4D","-0.01066217","0.944"
"Panc 04.03","KDM4D","-0.1751844","0.509"
"Panc 05.04","KDM4D","-0.3418827","0.365"
"Panc 08.13","KDM4D","-0.0423011","0.828"
"Panc 10.05","KDM4D","-0.1780529","0.367"
"RWP-1","KDM4D","-0.06667106","0.675"
"SK-PC-1","KDM4D","-0.06312167","0.851"
"SK-PC-3","KDM4D","-0.2468191","0.776"
"SU.86.86","KDM4D","-0.04928087","0.631"
"SW1990","KDM4D","-0.1145458","0.721"
"BT-20","KDM5A","-0.09687353","0.776"
"BT-474","KDM5A","-0.1177856","0.687"
"BT-549","KDM5A","-0.1996901","0.654"
"CAL-51","KDM5A","-0.1948155","0.272"
"CAMA-1","KDM5A","-0.2386318","0.604"
"EFM-19","KDM5A","-0.04671237","0.806"
"HCC1143","KDM5A","-0.2532907","0.648"
"HCC1187","KDM5A","-0.3661359","0.313"
"HCC1395","KDM5A","-0.2283709","0.582"
"HCC1419","KDM5A","-0.1211012","0.667"
"HCC1428","KDM5A","-0.4268019","0.475"
"HCC1500","KDM5A","-0.2561719","0.325"
"HCC1806","KDM5A","-0.266835","0.725"
"HCC1937","KDM5A","0.01344059","0.92"
"HCC1954","KDM5A","-0.1049882","0.666"
"HCC38","KDM5A","-0.4108651","0.208"
"Hs 578T","KDM5A","-0.05374049","0.613"
"KPL-1","KDM5A","-0.1207786","0.313"
"MCF7","KDM5A","-0.04455627","0.578"
"MDA-MB-157","KDM5A","-0.1614614","0.486"
"MDA-MB-231","KDM5A","-0.2752992","0.331"
"MDA-MB-361","KDM5A","-0.3160157","0.256"
"MDA-MB-436","KDM5A","-0.2491162","0.52"
"MDA-MB-453","KDM5A","-0.002306503","0.668"
"MDA-MB-468","KDM5A","-0.07415136","0.628"
"SK-BR-3","KDM5A","-0.211473","0.644"
"SW527","KDM5A","-0.2229068","0.219"
"T-47D","KDM5A","-0.1393092","0.745"
"ZR-75-1","KDM5A","-0.246628","0.517"
"609050M","KDM5A","-0.1774008","0.498"
"A2780","KDM5A","-0.06864288","0.465"
"A2780_CIS","KDM5A","-0.06775071","0.603"
"MM_OVCAR432_Bast_1","KDM5A","-0.1419542","0.93"
"OV-1946","KDM5A","-0.2965465","0.72"
"OV-90","KDM5A","-0.1809355","0.419"
"OVCA1369_TR","KDM5A","-0.2824675","0.89"
"OVCA433_Bast","KDM5A","-0.8195846","0.299"
"OVCA5","KDM5A","-0.1177747","0.657"
"OVCA8","KDM5A","-0.2471442","0.463"
"OVCAR-3","KDM5A","-0.5131938","0.423"
"SK-OV-3","KDM5A","0.009160352","0.918"
"TOV-1946","KDM5A","-0.3778934","0.457"
"TOV-2223G","KDM5A","-0.1183995","0.579"
"TOV-3133G","KDM5A","-0.113372","0.489"
"AsPC-1","KDM5A","-0.1317023","0.522"
"BxPC-3","KDM5A","-0.3090412","0.409"
"CFPAC-1","KDM5A","-0.02714435","0.833"
"Capan-2","KDM5A","-0.06421758","0.549"
"HPAC","KDM5A","-0.06455566","0.557"
"HPAF-II","KDM5A","-0.1344261","0.594"
"HPDE","KDM5A","-2.590526","0.317"
"Hs 766T","KDM5A","-0.5827715","0.629"
"IMIM-PC-1","KDM5A","-0.1636541","0.268"
"IMIM-PC-2","KDM5A","-0.06516176","0.567"
"KP-3","KDM5A","-0.1934134","0.431"
"KP-4","KDM5A","-0.06675809","0.589"
"MIA PaCa-2","KDM5A","-0.0887254","0.438"
"PANC-1","KDM5A","-0.06955531","0.751"
"PL45","KDM5A","-0.212451","0.411"
"PaTu_8988S","KDM5A","-0.06346583","0.558"
"PaTu_8988T","KDM5A","-0.1175209","0.393"
"Panc 02.03","KDM5A","-0.347871","0.236"
"Panc 03.27","KDM5A","-0.06984399","0.671"
"Panc 04.03","KDM5A","-0.3029047","0.164"
"Panc 05.04","KDM5A","-0.3931198","0.267"
"Panc 08.13","KDM5A","-0.1041838","0.534"
"Panc 10.05","KDM5A","-0.1475059","0.452"
"RWP-1","KDM5A","-0.1695304","0.39"
"SK-PC-1","KDM5A","-0.1181991","0.588"
"SK-PC-3","KDM5A","-0.5342747","0.272"
"SU.86.86","KDM5A","-0.1724089","0.216"
"SW1990","KDM5A","-0.1224889","0.675"
"BT-20","KDM5B","-0.234166","0.45"
"BT-474","KDM5B","-0.1267519","0.662"
"BT-549","KDM5B","-0.655126","0.076"
"CAL-51","KDM5B","-0.169896","0.353"
"CAMA-1","KDM5B","-0.6600862","0.071"
"EFM-19","KDM5B","-0.008699972","0.91"
"HCC1143","KDM5B","-0.8640903","0.071"
"HCC1187","KDM5B","-0.3771474","0.285"
"HCC1395","KDM5B","-0.6119788","0.089"
"HCC1419","KDM5B","-0.4192665","0.093"
"HCC1428","KDM5B","-0.5313029","0.394"
"HCC1500","KDM5B","-0.6455824","0.02"
"HCC1806","KDM5B","-0.7538623","0.153"
"HCC1937","KDM5B","-0.3536946","0.132"
"HCC1954","KDM5B","-0.2274085","0.302"
"HCC38","KDM5B","-0.8386124","0.008"
"Hs 578T","KDM5B","-0.1131578","0.317"
"KPL-1","KDM5B","-0.3513449","0.018"
"MCF7","KDM5B","-0.1545585","0.131"
"MDA-MB-157","KDM5B","-0.3366571","0.143"
"MDA-MB-231","KDM5B","-0.3126656","0.274"
"MDA-MB-361","KDM5B","-0.628831","0.041"
"MDA-MB-436","KDM5B","-0.9420786","0.016"
"MDA-MB-453","KDM5B","-0.1497125","0.106"
"MDA-MB-468","KDM5B","-0.1168238","0.462"
"SK-BR-3","KDM5B","-0.9663642","0.007"
"SW527","KDM5B","-0.2118536","0.244"
"T-47D","KDM5B","-0.3489392","0.254"
"ZR-75-1","KDM5B","-0.7548652","0.029"
"609050M","KDM5B","-0.3950335","0.126"
"A2780","KDM5B","-0.3803038","0.029"
"A2780_CIS","KDM5B","-0.3244567","0.084"
"MM_OVCAR432_Bast_1","KDM5B","-0.5396307","0.559"
"OV-1946","KDM5B","-0.9060262","0.085"
"OV-90","KDM5B","-0.2698365","0.241"
"OVCA1369_TR","KDM5B","-2.027798","0.168"
"OVCA433_Bast","KDM5B","-0.7985964","0.322"
"OVCA5","KDM5B","-0.5885342","0.041"
"OVCA8","KDM5B","-0.5806354","0.055"
"OVCAR-3","KDM5B","-0.7582115","0.249"
"SK-OV-3","KDM5B","-0.06997928","0.527"
"TOV-1946","KDM5B","-0.3027573","0.588"
"TOV-2223G","KDM5B","-0.3005604","0.264"
"TOV-3133G","KDM5B","-0.4951631","0.06"
"AsPC-1","KDM5B","-0.3956912","0.035"
"BxPC-3","KDM5B","-0.5392697","0.106"
"CFPAC-1","KDM5B","-0.1802956","0.104"
"Capan-2","KDM5B","-0.1231595","0.293"
"HPAC","KDM5B","-0.212423","0.061"
"HPAF-II","KDM5B","-0.2989487","0.169"
"HPDE","KDM5B","-4.754601","0.07"
"Hs 766T","KDM5B","-1.46098","0.012"
"IMIM-PC-1","KDM5B","-0.2725466","0.087"
"IMIM-PC-2","KDM5B","-0.112642","0.311"
"KP-3","KDM5B","-0.3679188","0.096"
"KP-4","KDM5B","-0.3286851","0.008"
"MIA PaCa-2","KDM5B","-0.3507618","0.005"
"PANC-1","KDM5B","-0.3553311","0.018"
"PL45","KDM5B","-0.3470959","0.124"
"PaTu_8988S","KDM5B","-0.2695345","0.047"
"PaTu_8988T","KDM5B","-0.219715","0.113"
"Panc 02.03","KDM5B","-0.36105","0.218"
"Panc 03.27","KDM5B","-0.1117654","0.478"
"Panc 04.03","KDM5B","-0.3582677","0.091"
"Panc 05.04","KDM5B","-0.6927767","0.016"
"Panc 08.13","KDM5B","-0.1648115","0.302"
"Panc 10.05","KDM5B","-0.1132976","0.555"
"RWP-1","KDM5B","-0.1724925","0.384"
"SK-PC-1","KDM5B","-0.2801844","0.125"
"SK-PC-3","KDM5B","-0.9304132","0.013"
"SU.86.86","KDM5B","-0.3086883","0.053"
"SW1990","KDM5B","-0.5325203","0.009"
"BT-20","KDM5C","-0.06097151","0.857"
"BT-474","KDM5C","-0.05144234","0.883"
"BT-549","KDM5C","-0.1517912","0.767"
"CAL-51","KDM5C","-0.05824249","0.917"
"CAMA-1","KDM5C","-0.1664074","0.779"
