"gene","cell","tissue","exp","cnv"
"KDM5D","HDMYZ","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.3643","-0.3726"
"KDM5D","HDQP1","BREAST","4.481","-3.048"
"KDM5D","HEC108","ENDOMETRIUM","4.5805","-3.571"
"KDM5D","HEC151","ENDOMETRIUM","4.9434","-3.565"
"KDM5D","HEC1A","ENDOMETRIUM","4.5781","-3.089"
"KDM5D","HEC1B","ENDOMETRIUM","4.2651","-3.096"
"KDM5D","HEC251","ENDOMETRIUM","4.8129","-3.517"
"KDM5D","HEC265","ENDOMETRIUM","4.6319","-3.542"
"KDM5D","HEC50B","ENDOMETRIUM","4.3719","-2.995"
"KDM5D","HEC59","ENDOMETRIUM","4.3809","-3.087"
"KDM5D","HEC6","ENDOMETRIUM","4.3807","-3.411"
"KDM5D","HEL9217","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.7294","-0.4474"
"KDM5D","HEL","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.067","-0.5247"
"KDM5D","HEP3B217","LIVER","4.4823","-3.292"
"KDM5D","HEPG2","LIVER","8.4732","-0.9173"
"KDM5D","HEYA8","OVARY","4.2668","-3.17"
"KDM5D","HGC27","STOMACH","4.546","-3.34"
"KDM5D","HH","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.8622","-3.35"
"KDM5D","HL60","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.3806","-3.353"
"KDM5D","HLE","LIVER","4.3388","-2.958"
"KDM5D","HLFA","LUNG","4.709","-3.333"
"KDM5D","HLF","LIVER","4.2838","-3.415"
"KDM5D","HMCB","SKIN","4.264","-3.027"
"KDM5D","HOS","BONE","4.1552","-3.532"
"KDM5D","HPAC","PANCREAS","4.1422","-3.264"
"KDM5D","HPAFII","PANCREAS","4.7917","-3.314"
"KDM5D","HPBALL","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.4449","-0.9576"
"KDM5D","HS172T","URINARY TRACT","8.6421","-0.8627"
"KDM5D","HS229T","LUNG","6.9779","-1.494"
"KDM5D","HS274T","BREAST","4.6344","-3.268"
"KDM5D","HS281T","BREAST","4.5197","-3.464"
"KDM5D","HS294T","SKIN","4.84","-2.944"
"KDM5D","HS343T","BREAST","4.3392","-2.791"
"KDM5D","HS578T","BREAST","4.2707","-3.133"
"KDM5D","HS600T","SKIN","7.807","-0.9371"
"KDM5D","HS604T","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.0568","-0.9866"
"KDM5D","HS606T","BREAST","4.465","-3.375"
"KDM5D","HS611T","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.6768","-3.131"
"KDM5D","HS616T","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.24","-0.9908"
"KDM5D","HS618T","LUNG","4.4456","-3.725"
"KDM5D","HS675T","LARGE INTESTINE","7.8271","-1.035"
"KDM5D","HS683","CENTRAL NERVOUS SYSTEM","7.9835","-0.9204"
"KDM5D","HS695T","SKIN","7.975","-1.214"
"KDM5D","HS698T","LARGE INTESTINE","4.4352","-3.37"
"KDM5D","HS706T","BONE","4.9108","-3.33"
"KDM5D","HS729","SOFT TISSUE","8.2585","-0.6564"
"KDM5D","HS737T","BONE","4.9749","-3.378"
"KDM5D","HS739T","BREAST","4.3518","-3.381"
"KDM5D","HS742T","BREAST","4.7265","-3.06"
"KDM5D","HS746T","STOMACH","6.8438","-1.704"
"KDM5D","HS751T","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.9705","-1.004"
"KDM5D","HS766T","PANCREAS","4.5659","-3.451"
"KDM5D","HS819T","BONE","4.9092","-3.214"
"KDM5D","HS821T","BONE","4.7861","-3.604"
"KDM5D","HS822T","BONE","4.352","-3.01"
"KDM5D","HS839T","SKIN","4.4728","-3.36"
"KDM5D","HS840T","UPPER AERODIGESTIVE TRACT","8.0199","-1.043"
"KDM5D","HS852T","SKIN","7.5634","-1.04"
"KDM5D","HS863T","BONE","4.4836","-3.679"
"KDM5D","HS870T","BONE","7.6241","-0.7804"
"KDM5D","HS888T","BONE","8.3301","-0.7893"
"KDM5D","HS895T","SKIN","4.3323","-3.255"
"KDM5D","HS934T","SKIN","4.5453","-3.002"
"KDM5D","HS936T","SKIN","8.6051","-0.6043"
"KDM5D","HS939T","SKIN","4.3865","-3.464"
"KDM5D","HS940T","SKIN","7.9953","-1.046"
"KDM5D","HS944T","SKIN","7.2","-1.306"
"KDM5D","HSC2","UPPER AERODIGESTIVE TRACT","5.6132","-2.477"
"KDM5D","HSC3","UPPER AERODIGESTIVE TRACT","7.4446","-1.374"
"KDM5D","HSC4","UPPER AERODIGESTIVE TRACT","4.3208","-3.265"
"KDM5D","HT1080","SOFT TISSUE","7.6757","-1.051"
"KDM5D","HT115","LARGE INTESTINE","4.3239","-3.063"
"KDM5D","HT1197","URINARY TRACT","8.1442","-0.3073"
"KDM5D","HT1376","URINARY TRACT","4.6157","-3.717"
"KDM5D","HT144","SKIN","4.3129","-3.148"
"KDM5D","HT29","LARGE INTESTINE","4.3564","-3.524"
"KDM5D","HT55","LARGE INTESTINE","4.786","-2.821"
"KDM5D","HT","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.6779","-1.034"
"KDM5D","HUCCT1","BILIARY TRACT","6.52","-1.226"
"KDM5D","HUG1N","STOMACH","4.225","-3.17"
"KDM5D","HUH1","LIVER","7.7043","-1.304"
"KDM5D","HUH28","BILIARY TRACT","4.5987","-2.754"
"KDM5D","HUH6","LIVER","9.2332","-0.469"
"KDM5D","HUH7","LIVER","4.6178","-3.013"
"KDM5D","HUNS1","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.0611","-0.9596"
"KDM5D","HUPT3","PANCREAS","7.5024","-1.523"
"KDM5D","HUPT4","PANCREAS","4.6392","-3.695"
"KDM5D","HUT102","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.9978","-0.892"
"KDM5D","HUT78","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.4951","-0.7038"
"KDM5D","HUTU80","SMALL INTESTINE","8.6076","-1.039"
"KDM5D","IALM","LUNG","9.2614","-0.2194"
"KDM5D","IGR1","SKIN","8.7278","-0.5329"
"KDM5D","IGR37","SKIN","8.6001","-0.6656"
"KDM5D","IGR39","SKIN","7.8461","-0.7898"
"KDM5D","IGROV1","OVARY","4.7807","-3.516"
"KDM5D","IM95","STOMACH","4.5625","-3.661"
"KDM5D","IMR32","AUTONOMIC GANGLIA","8.123","-1.138"
"KDM5D","IPC298","SKIN","4.4824","-3.297"
"KDM5D","ISTMES1","PLEURA","4.6431","-3.057"
"KDM5D","ISTMES2","PLEURA","8.642","-0.8373"
"KDM5D","J82","URINARY TRACT","6.7574","-1.146"
"KDM5D","JEKO1","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.2627","-3.253"
"KDM5D","JHH1","LIVER","5.1145","-3.548"
"KDM5D","JHH2","LIVER","8.8863","0.1481"
"KDM5D","JHH4","LIVER","4.0872","-3.362"
"KDM5D","JHH5","LIVER","7.7965","-1.054"
"KDM5D","JHH6","LIVER","4.1292","-3.158"
"KDM5D","JHH7","LIVER","7.9262","-1.478"
"KDM5D","JHOC5","OVARY","4.4431","-3.101"
"KDM5D","JHOM1","OVARY","4.2744","-3.008"
"KDM5D","JHOM2B","OVARY","3.9975","-3.006"
"KDM5D","JHOS2","OVARY","4.3523","-3.452"
"KDM5D","JHOS4","OVARY","4.9065","-3.482"
"KDM5D","JHUEM1","ENDOMETRIUM","4.4784","-3.421"
"KDM5D","JHUEM2","ENDOMETRIUM","4.493","-3.278"
"KDM5D","JHUEM3","ENDOMETRIUM","4.2598","-3.083"
"KDM5D","JIMT1","BREAST","4.6055","-3.217"
"KDM5D","JK1","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.553","-0.9437"
"KDM5D","JL1","PLEURA","8.196","-0.9244"
"KDM5D","JM1","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.2323","-1.171"
"KDM5D","JMSU1","URINARY TRACT","4.4204","-3.027"
"KDM5D","JURKAT","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.6252","-1.936"
"KDM5D","JURLMK1","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.9613","-0.9641"
"KDM5D","JVM2","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.3078","-2.829"
"KDM5D","JVM3","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.3125","-0.9196"
"KDM5D","K029AX","SKIN","4.6646","-3.476"
"KDM5D","K562","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.4048","-2.689"
"KDM5D","KALS1","CENTRAL NERVOUS SYSTEM","4.2675","-3.246"
"KDM5D","KARPAS299","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.6561","-0.8049"
"KDM5D","KARPAS620","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.4546","-2.911"
"KDM5D","KASUMI1","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.5713","-3.252"
"KDM5D","KASUMI2","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.2883","-2.606"
"KDM5D","KASUMI6","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.013","-1.025"
"KDM5D","KATOIII","STOMACH","4.6813","-2.945"
"KDM5D","KCIMOH1","PANCREAS","4.5863","-3.272"
"KDM5D","KCL22","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.3485","-3.269"
"KDM5D","KE37","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.3469","-1.078"
"KDM5D","KE39","STOMACH","4.6303","-3.501"
"KDM5D","KE97","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.392","-3.541"
"KDM5D","KELLY","AUTONOMIC GANGLIA","4.2455","-3.097"
"KDM5D","KG1C","CENTRAL NERVOUS SYSTEM","7.6275","-0.8963"
"KDM5D","KG1","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.241","-1.012"
"KDM5D","KHM1B","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.9836","-3.517"
"KDM5D","KIJK","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.4959","-1.611"
"KDM5D","KLE","ENDOMETRIUM","4.6922","-3.343"
"KDM5D","KM12","LARGE INTESTINE","4.4941","-3.497"
"KDM5D","KMBC2","URINARY TRACT","4.4355","-3.429"
"KDM5D","KMH2","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.2227","-2.886"
"KDM5D","KMM1","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.9615","-3.46"
"KDM5D","KMRC1","KIDNEY","4.5593","-3.562"
"KDM5D","KMRC20","KIDNEY","4.5442","-2.938"
"KDM5D","KMRC2","KIDNEY","4.5743","-3.531"
"KDM5D","KMRC3","KIDNEY","8.4451","-0.8572"
"KDM5D","KMS11","HAEMATOPOIETIC AND LYMPHOID TISSUE","5.2614","-2.959"
"KDM5D","KMS12BM","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.8504","-3.292"
"KDM5D","KMS18","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.2814","-3.229"
"KDM5D","KMS20","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.5816","-3.437"
"KDM5D","KMS21BM","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.5635","-3.616"
"KDM5D","KMS26","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.5471","-1.612"
"KDM5D","KMS27","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.8249","-1.712"
"KDM5D","KMS28BM","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.8887","-3.406"
"KDM5D","KMS34","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.8033","-3.555"
"KDM5D","KNS42","CENTRAL NERVOUS SYSTEM","4.4615","-3.546"
"KDM5D","KNS60","CENTRAL NERVOUS SYSTEM","4.3881","-3.353"
"KDM5D","KNS62","LUNG","4.5731","-3.073"
"KDM5D","KNS81","CENTRAL NERVOUS SYSTEM","7.7043","-0.8597"
"KDM5D","KO52","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.23","-1.006"
"KDM5D","KOPN8","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.402","-2.992"
"KDM5D","KP2","PANCREAS","4.289","-3.375"
"KDM5D","KP3","PANCREAS","4.5432","-3.504"
"KDM5D","KP4","PANCREAS","4.419","-3.106"
"KDM5D","KPL1","BREAST","4.3354","-2.766"
"KDM5D","KPNRTBM1","AUTONOMIC GANGLIA","3.8962","-3.461"
"KDM5D","KPNSI9S","AUTONOMIC GANGLIA","9.4425","-0.1128"
"KDM5D","KPNYN","AUTONOMIC GANGLIA","8.1252","-1.008"
"KDM5D","KS1","CENTRAL NERVOUS SYSTEM","4.3657","-3.281"
"KDM5D","KU1919","URINARY TRACT","4.3113","-3.146"
"KDM5D","KU812","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.148","-0.3275"
"KDM5D","KYM1","SOFT TISSUE","4.7944","-3.322"
"KDM5D","KYO1","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.5808","-2.928"
"KDM5D","KYSE140","OESOPHAGUS","4.5283","-2.775"
"KDM5D","KYSE150","OESOPHAGUS","4.5939","-3.213"
"KDM5D","KYSE180","OESOPHAGUS","5.0328","-3.231"
"KDM5D","KYSE270","OESOPHAGUS","8.54","-1.141"
"KDM5D","KYSE30","OESOPHAGUS","4.5842","-3.098"
"KDM5D","KYSE410","OESOPHAGUS","4.3469","-3.279"
"KDM5D","KYSE450","OESOPHAGUS","4.6968","-3.414"
"KDM5D","KYSE510","OESOPHAGUS","4.921","-3.087"
"KDM5D","KYSE520","OESOPHAGUS","4.541","-3.6"
"KDM5D","KYSE70","OESOPHAGUS","4.6292","-3.204"
"KDM5D","L1236","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.6292","-3.169"
"KDM5D","L33","PANCREAS","4.5995","-3.631"
"KDM5D","L363","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.2989","-2.866"
"KDM5D","L428","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.7441","-3.197"
"KDM5D","L540","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.6444","-3.462"
"KDM5D","LAMA84","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.3946","-2.977"
"KDM5D","LCLC103H","LUNG","6.7703","-1.49"
"KDM5D","LCLC97TM1","LUNG","4.3624","-2.349"
"KDM5D","LI7","LIVER","4.1613","-3.158"
"KDM5D","LK2","LUNG","4.5983","-3.183"
"KDM5D","LMSU","STOMACH","4.1551","-3.085"
"KDM5D","LN18","CENTRAL NERVOUS SYSTEM","7.6799","-1.097"
"KDM5D","LN229","CENTRAL NERVOUS SYSTEM","4.4094","-3.596"
"KDM5D","LNCAPCLONEFGC","PROSTATE","7.8433","-0.8892"
"KDM5D","LOUCY","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.3892","-3.395"
"KDM5D","LOUNH91","LUNG","4.779","-3.274"
"KDM5D","LOVO","LARGE INTESTINE","8.3928","-1.04"
"KDM5D","LOXIMVI","SKIN","4.7948","-3.182"
"KDM5D","LP1","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.3889","-2.866"
"KDM5D","LS1034","LARGE INTESTINE","8.0489","-0.518"
"KDM5D","LS123","LARGE INTESTINE","4.31","-3.572"
"KDM5D","LS180","LARGE INTESTINE","4.2779","-3.663"
"KDM5D","LS411N","LARGE INTESTINE","4.3968","-3.17"
"KDM5D","LS513","LARGE INTESTINE","7.4684","-1.028"
"KDM5D","LU65","LUNG","4.868","-3.163"
"KDM5D","LU99","LUNG","4.8606","-3.485"
"KDM5D","LUDLU1","LUNG","4.5465","-3.388"
"KDM5D","LXF289","LUNG","7.758","-1.432"
"KDM5D","M059K","CENTRAL NERVOUS SYSTEM","6.5332","-1.523"
"KDM5D","M07E","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.495","-3.426"
"KDM5D","MALME3M","SKIN","7.7809","-1.015"
"KDM5D","MC116","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.012","-1.095"
"KDM5D","MCAS","OVARY","4.2832","-3.337"
"KDM5D","MCF7","BREAST","4.6935","-3.382"
"KDM5D","MDAMB134VI","BREAST","4.5597","-3.358"
"KDM5D","MDAMB157","BREAST","4.1794","-2.927"
"KDM5D","MDAMB175VII","BREAST","4.5178","-2.88"
"KDM5D","MDAMB231","BREAST","4.5348","-3.244"
"KDM5D","MDAMB361","BREAST","4.505","-3.718"
"KDM5D","MDAMB415","BREAST","4.689","-3.661"
"KDM5D","MDAMB435S","SKIN","4.816","-3.296"
"KDM5D","MDAMB436","BREAST","4.7688","-3.52"
"KDM5D","MDAMB453","BREAST","4.2454","-3.52"
"KDM5D","MDAMB468","BREAST","4.7371","-3.157"
"KDM5D","MDAPCA2B","PROSTATE","8.9231","-0.9268"
"KDM5D","MDST8","LARGE INTESTINE","4.8249","-3.162"
"KDM5D","ME1","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.216","-1.043"
"KDM5D","MEC1","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.5455","-1.065"
"KDM5D","MEC2","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.076","-0.6549"
"KDM5D","MEG01","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.184","-0.1378"
"KDM5D","MELHO","SKIN","4.9573","-3.524"
"KDM5D","MELJUSO","SKIN","4.5645","-3.364"
"KDM5D","MEWO","SKIN","8.7083","-0.9386"
"KDM5D","MFE280","ENDOMETRIUM","5.2504","-3.068"
"KDM5D","MFE296","ENDOMETRIUM","4.7807","-3.461"
"KDM5D","MFE319","ENDOMETRIUM","5.5418","-3.458"
"KDM5D","MG63","BONE","7.7681","-0.7373"
"KDM5D","MHHCALL2","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.3241","-2.752"
"KDM5D","MHHCALL3","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.6107","-2.789"
"KDM5D","MHHCALL4","HAEMATOPOIETIC AND LYMPHOID TISSUE","6.0979","-2.679"
"KDM5D","MHHES1","BONE","4.2073","-3.149"
"KDM5D","MHHNB11","AUTONOMIC GANGLIA","9.1319","-1.096"
"KDM5D","MIAPACA2","PANCREAS","4.5478","-3.212"
"KDM5D","MINO","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.2535","-0.8586"
"KDM5D","MJ","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.4011","-0.961"
"KDM5D","MKN1","STOMACH","4.3978","-3.243"
"KDM5D","MKN45","STOMACH","4.4868","-3.165"
"KDM5D","MKN74","STOMACH","4.4543","-3.581"
"KDM5D","MKN7","STOMACH","4.7248","-3.455"
"KDM5D","ML1","THYROID","4.2496","-3.222"
"KDM5D","MM1S","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.4064","-3.236"
"KDM5D","MOLM13","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.8078","-1.021"
"KDM5D","MOLM16","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.2279","-3.032"
"KDM5D","MOLM6","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.24","-0.4898"
"KDM5D","MOLP2","HAEMATOPOIETIC AND LYMPHOID TISSUE","5.0019","-2.825"
"KDM5D","MOLP8","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.3008","-3.267"
"KDM5D","MOLT13","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.4876","-3.243"
"KDM5D","MOLT16","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.1649","-3.27"
"KDM5D","MOLT4","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.8294","-1.063"
"KDM5D","MONOMAC1","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.8028","-1.306"
"KDM5D","MONOMAC6","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.4382","-2.925"
"KDM5D","MOTN1","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.1971","-2.981"
"KDM5D","MPP89","PLEURA","8.4783","-0.4345"
"KDM5D","MSTO211H","PLEURA","7.7113","-0.9104"
"KDM5D","MUTZ5","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.318","-3.29"
"KDM5D","MV411","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.106","-0.8272"
"KDM5D","NALM19","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.8131","-0.8908"
"KDM5D","NALM1","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.539","-2.922"
"KDM5D","NALM6","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.7275","-1.052"
"KDM5D","NB1","AUTONOMIC GANGLIA","4.5149","-3.38"
"KDM5D","NB4","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.6184","-3.024"
"KDM5D","NCIH1048","LUNG","4.5019","-3.115"
"KDM5D","NCIH1092","LUNG","7.328","-1.312"
"KDM5D","NCIH1105","LUNG","4.1033","-3.321"
"KDM5D","NCIH1155","LUNG","4.0729","-3.106"
"KDM5D","NCIH1184","LUNG","4.1252","-3.033"
"KDM5D","NCIH1299","LUNG","4.7374","-3.513"
"KDM5D","NCIH1339","LUNG","9.8182","0.1252"
"KDM5D","NCIH1341","LUNG","4.3724","-3.247"
"KDM5D","NCIH1355","LUNG","4.6016","-3.286"
"KDM5D","NCIH1373","LUNG","4.4731","-3.239"
"KDM5D","NCIH1385","LUNG","4.6466","-2.93"
"KDM5D","NCIH1395","LUNG","4.7039","-4.398"
"KDM5D","NCIH1435","LUNG","4.5389","-3.118"
"KDM5D","NCIH1436","LUNG","4.076","-3.109"
"KDM5D","NCIH1437","LUNG","4.371","-3.636"
"KDM5D","NCIH146","LUNG","4.3486","-3.327"
"KDM5D","NCIH1563","LUNG","9.1714","-0.2872"
"KDM5D","NCIH1568","LUNG","4.6942","-3.442"
"KDM5D","NCIH1573","LUNG","4.5418","-3.342"
"KDM5D","NCIH1581","LUNG","5.972","-2.751"
"KDM5D","NCIH1618","LUNG","4.291","-3.171"
"KDM5D","NCIH1623","LUNG","5.054","-3.116"
"KDM5D","NCIH1648","LUNG","8.133","-1.267"
"KDM5D","NCIH1650","LUNG","4.4594","-3.506"
"KDM5D","NCIH1651","LUNG","8.6284","-0.628"
"KDM5D","NCIH1666","LUNG","4.466","-3.008"
"KDM5D","NCIH1693","LUNG","4.2527","-3.214"
"KDM5D","NCIH1694","LUNG","4.238","-2.95"
"KDM5D","NCIH1703","LUNG","7.4886","-1.331"
"KDM5D","NCIH1734","LUNG","4.0468","-3.229"
"KDM5D","NCIH1755","LUNG","4.6844","-3.181"
"KDM5D","NCIH1781","LUNG","4.6491","-3.468"
"KDM5D","NCIH1792","LUNG","4.399","-3.036"
"KDM5D","NCIH1793","LUNG","4.4752","-3.342"
"KDM5D","NCIH1836","LUNG","4.6657","-3.64"
"KDM5D","NCIH1838","LUNG","4.896","-3.015"
"KDM5D","NCIH1869","LUNG","4.798","-2.902"
"KDM5D","NCIH1876","LUNG","8.1421","-1.44"
"KDM5D","NCIH1915","LUNG","4.7581","-3.147"
"KDM5D","NCIH1930","LUNG","4.7586","-3.405"
"KDM5D","NCIH1944","LUNG","4.6171","-3.105"
"KDM5D","NCIH1963","LUNG","4.3026","-3.311"
"KDM5D","NCIH196","LUNG","7.3677","-1.73"
"KDM5D","NCIH1975","LUNG","4.5544","-3.483"
"KDM5D","NCIH2009","LUNG","4.6699","-2.845"
"KDM5D","NCIH2023","LUNG","4.5794","-3.354"
"KDM5D","NCIH2029","LUNG","4.5128","-2.771"
"KDM5D","NCIH2030","LUNG","4.4137","-3.176"
"KDM5D","NCIH2052","PLEURA","3.8741","-3.226"
"KDM5D","NCIH2066","LUNG","4.2721","-3.168"
"KDM5D","NCIH2081","LUNG","4.2991","-2.936"
"KDM5D","NCIH2085","LUNG","8.8406","-0.3997"
"KDM5D","NCIH2087","LUNG","4.5076","-3.094"
"KDM5D","NCIH209","LUNG","8.7052","-1.028"
"KDM5D","NCIH2106","LUNG","8.0479","-1.252"
"KDM5D","NCIH2110","LUNG","4.6485","-2.943"
"KDM5D","NCIH211","LUNG","4.648","-2.985"
"KDM5D","NCIH2122","LUNG","4.9016","-3.351"
"KDM5D","NCIH2126","LUNG","7.6869","-1.302"
"KDM5D","NCIH2141","LUNG","6.9976","-2.228"
"KDM5D","NCIH2170","LUNG","4.7749","-3.454"
"KDM5D","NCIH2171","LUNG","8.4802","-0.7092"
"KDM5D","NCIH2172","LUNG","4.5489","-3.405"
"KDM5D","NCIH2196","LUNG","9.9698","0.02262"
"KDM5D","NCIH2227","LUNG","4.1904","-3.628"
"KDM5D","NCIH2228","LUNG","4.4491","-3.665"
"KDM5D","NCIH226","LUNG","6.5558","-0.9005"
"KDM5D","NCIH2286","LUNG","4.4308","-2.66"
"KDM5D","NCIH2291","LUNG","4.3498","-3.05"
"KDM5D","NCIH2342","LUNG","4.3201","-3.059"
"KDM5D","NCIH2347","LUNG","4.68","-3.322"
"KDM5D","NCIH23","LUNG","4.8388","-3.304"
"KDM5D","NCIH2405","LUNG","4.7832","-2.854"
"KDM5D","NCIH2444","LUNG","4.4935","-3.35"
"KDM5D","NCIH2452","PLEURA","7.6645","-0.715"
"KDM5D","NCIH28","PLEURA","7.8164","-0.9082"
"KDM5D","NCIH322","LUNG","7.917","-1.337"
"KDM5D","NCIH358","LUNG","7.4706","-1.471"
"KDM5D","NCIH441","LUNG","5.6287","-2.67"
"KDM5D","NCIH446","LUNG","7.674","-1.626"
"KDM5D","NCIH460","LUNG","8.0012","-0.3451"
"KDM5D","NCIH508","LARGE INTESTINE","4.9114","-3.479"
"KDM5D","NCIH510","LUNG","4.6328","-3.33"
"KDM5D","NCIH520","LUNG","4.388","-3.249"
"KDM5D","NCIH522","LUNG","4.5241","-3.441"
"KDM5D","NCIH524","LUNG","4.0782","-4.74"
"KDM5D","NCIH526","LUNG","7.7798","-1.53"
"KDM5D","NCIH596","LUNG","4.3509","-3.09"
"KDM5D","NCIH647","LUNG","4.474","-3.524"
"KDM5D","NCIH650","LUNG","4.7008","-3.56"
"KDM5D","NCIH660","PROSTATE","4.543","-3.015"
"KDM5D","NCIH661","LUNG","8.6711","-0.4939"
"KDM5D","NCIH69","LUNG","8.9224","-0.6878"
"KDM5D","NCIH716","LARGE INTESTINE","4.4577","-3.228"
"KDM5D","NCIH727","LUNG","4.2848","-3.292"
"KDM5D","NCIH747","LARGE INTESTINE","6.3213","-1.677"
"KDM5D","NCIH810","LUNG","4.7661","-3.266"
"KDM5D","NCIH82","LUNG","4.3976","-3.455"
"KDM5D","NCIH838","LUNG","4.0876","-3.338"
"KDM5D","NCIH841","LUNG","8.4828","-1.011"
"KDM5D","NCIH854","LUNG","4.8276","-2.84"
"KDM5D","NCIH889","LUNG","4.4775","-3.208"
"KDM5D","NCIH929","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.5163","-3.492"
"KDM5D","NCIN87","STOMACH","7.9966","-0.802"
"KDM5D","NCO2","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.3015","-3.121"
"KDM5D","NH6","AUTONOMIC GANGLIA","4.6329","-3.156"
"KDM5D","NMCG1","CENTRAL NERVOUS SYSTEM","4.1019","-3.32"
"KDM5D","NOMO1","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.2001","-3.168"
"KDM5D","NUDHL1","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.2521","-0.6454"
"KDM5D","NUDUL1","HAEMATOPOIETIC AND LYMPHOID TISSUE","4.5553","-3.065"
"KDM5D","NUGC2","STOMACH","4.1392","-3.403"
"KDM5D","NUGC3","STOMACH","4.8285","-3.349"
"KDM5D","NUGC4","STOMACH","5.0447","-3.33"
"KDM5D","OAW28","OVARY","4.4205","-2.895"
"KDM5D","OAW42","OVARY","4.4435","-2.714"
